score,tourney_date
2-6 6-1 6-1,19900806
6-4 6-7 6-2,19900806
3-6 6-4 6-4,19900806
7-5 3-6 6-4,19900806
6-3 6-2,19900806
6-4 6-7 6-4,19900806
6-3 4-6 6-4,19900806
6-1 1-6 7-6,19900806
6-0 6-4,19900806
6-3 7-6,19900806
6-3 6-2,19900806
6-2 2-6 7-6,19900806
6-2 6-7 6-4,19900806
6-2 7-6,19900806
3-6 6-2 6-3,19900806
4-6 6-3 6-3,19900806
6-3 6-2,19900806
7-6 6-2,19900806
6-3 6-2,19900806
6-3 6-2,19900806
6-4 6-3,19900806
6-1 6-0,19900806
7-5 6-4,19900806
7-6 6-3,19900806
6-2 6-2,19900806
6-4 6-2,19900806
6-2 6-1,19900806
6-3 5-7 6-4,19900806
6-4 3-6 6-3,19900806
3-6 6-3 6-4,19900806
6-1 6-4,19900806
2-6 6-1 7-5,19900806
4-6 6-4 7-6,19900806
7-5 6-3,19900806
6-3 6-4,19900806
6-1 6-1,19900806
6-2 6-4,19900730
7-5 6-4,19900730
6-3 4-6 6-1,19900730
7-6 2-6 6-2,19900730
7-5 6-3,19900730
6-3 7-6,19900730
6-4 7-6,19900730
6-1 6-3,19900730
6-1 6-4,19900730
7-5 6-1,19900730
6-3 6-4,19900730
7-5 4-6 6-4,19900730
6-4 3-6 6-3,19900730
6-2 6-4,19900730
6-2 6-4,19900730
5-7 7-6 6-4,19900730
7-5 6-4,19900730
6-4 6-7 6-4,19900730
6-2 2-6 6-4,19900730
6-2 6-3,19900730
6-7 7-6 6-2,19900730
6-2 6-3,19900730
2-6 6-3 6-1,19900730
4-6 6-0 6-3,19900730
6-4 6-4,19900730
6-3 6-4,19900730
6-1 7-5,19900730
6-3 6-4,19900730
6-2 6-7 6-1,19900730
7-6 6-2,19900730
7-6 2-6 7-6,19900730
6-3 6-2 6-4,19900115
6-4 7-5 6-3,19900115
6-3 6-1 2-6 6-2,19900115
6-2 7-6 6-3,19900115
4-6 7-6 6-2 6-2,19900115
6-7 6-3 6-4 5-7 6-3,19900115
6-2 5-7 7-5 6-3,19900115
6-3 6-2 6-4,19900115
4-6 6-3 1-6 6-2 6-3,19900115
6-4 6-1 6-4,19900115
6-3 6-2 6-2,19900115
6-7 6-1 6-4 6-2,19900115
6-2 4-6 4-6 6-0 6-2,19900115
6-2 7-6 6-3,19900115
6-3 6-3 6-1,19900115
6-2 6-4 6-4,19900115
6-2 6-1 6-1,19900115
4-6 6-4 6-4 6-7 6-3,19900115
6-4 7-6 4-6 6-3,19900115
6-3 6-4 6-4,19900115
7-6 6-0 6-3,19900115
6-1 4-6 7-5 6-4,19900115
6-2 6-1 6-2,19900115
6-1 6-4 6-3,19900115
4-6 7-6 6-2 4-6 7-5,19900115
6-2 6-4 3-6 6-1,19900115
6-2 6-4 6-2,19900115
7-6 7-6 3-6 6-2,19900115
5-7 6-4 6-4 6-1,19900115
4-6 6-0 6-3 6-1,19900115
4-6 6-4 6-1 6-3,19900115
7-6 6-7 4-6 7-5 12-10,19900115
6-4 6-7 6-4 7-5,19900115
4-6 7-5 6-4 5-7 6-1,19900115
6-3 6-1 6-3,19900115
6-3 2-6 6-3 6-1,19900115
7-5 7-5 6-0,19900115
6-4 6-1 6-1,19900115
2-6 6-1 6-4 6-4,19900115
3-6 6-7 7-6 6-3 6-2,19900115
6-3 6-3 6-1,19900115
6-2 7-5 7-5,19900115
2-2 RET,19900115
6-3 6-2 7-6,19900115
6-2 6-7 6-0 6-2,19900115
6-0 6-7 6-3 6-4,19900115
6-3 6-7 2-6 7-6 6-2,19900115
7-6 6-3 6-4,19900115
7-6 7-5 7-5,19900115
6-3 5-7 7-6 6-1,19900115
6-2 7-5 6-2,19900115
6-2 6-1 6-2,19900115
6-0 6-3 6-1,19900115
6-3 6-4 6-7 2-6 6-3,19900115
2-6 6-4 6-4 6-2,19900115
5-7 6-3 0-6 6-2 6-2,19900115
6-2 6-4 7-6,19900115
7-6 6-7 6-3 7-6,19900115
6-3 6-1 6-1,19900115
6-2 6-3 2-6 6-2,19900115
2-6 6-3 3-6 6-4 6-3,19900115
6-3 5-7 2-6 6-2 6-3,19900115
6-2 6-2 6-2,19900115
6-1 6-2 6-1,19900115
6-4 6-2 6-3,19900115
6-4 6-1 4-6 6-3,19900115
6-4 7-6 6-0,19900115
1-6 7-5 7-5 2-6 8-6,19900115
6-4 3-6 6-3 6-2,19900115
6-4 6-4 2-0 RET,19900115
6-4 5-7 7-5 6-0,19900115
6-4 1-6 7-5 2-6 6-2,19900115
6-1 6-2 6-1,19900115
6-2 6-4 6-3,19900115
6-2 4-6 6-3 6-4,19900115
6-4 6-3 1-6 6-4,19900115
7-6 6-3 6-3,19900115
2-6 5-7 6-2 6-4 6-2,19900115
6-3 6-2 6-2,19900115
0-6 6-2 3-6 6-1 6-3,19900115
6-1 4-6 6-3 6-1,19900115
4-6 7-5 7-5 6-3,19900115
6-3 6-2 3-6 6-1,19900115
6-3 6-2 7-5,19900115
2-6 6-2 6-3 6-2,19900115
6-1 6-2 6-2,19900115
6-7 7-5 6-3 6-4,19900115
6-2 6-2 6-4,19900115
6-2 7-5 6-3,19900115
7-6 6-7 6-3 6-1,19900115
6-1 7-6 6-3,19900115
6-4 3-6 6-3 6-3,19900115
2-6 6-1 6-0 6-2,19900115
6-2 6-4 6-2,19900115
6-3 4-6 6-3 6-4,19900115
6-3 7-6 4-6 6-2,19900115
6-4 3-6 6-4 6-1,19900115
3-6 6-4 6-3 6-2,19900115
6-4 6-3 3-6 7-6,19900115
6-4 6-4 7-5,19900115
6-3 6-2 6-2,19900115
6-4 6-1 6-3,19900115
6-3 6-3 6-3,19900115
7-5 6-4 6-2,19900115
6-7 6-2 6-3 6-2,19900115
6-3 4-5 RET,19900115
6-4 7-5 3-6 4-6 6-2,19900115
6-3 6-4 6-1,19900115
6-4 5-7 6-4 1-6 6-3,19900115
7-5 6-4 3-6 6-1,19900115
6-4 6-2 6-0,19900115
6-3 6-1 6-4,19900115
6-1 6-3 6-1,19900115
2-6 6-3 7-6 7-6,19900115
1-6 6-4 5-7 4-2 DEF,19900115
6-3 6-4 3-6 6-2,19900115
7-6 6-4 6-3,19900115
6-2 6-2 6-4,19900115
7-5 6-4 6-0,19900115
4-6 6-7 6-4 6-1 6-1,19900115
6-3 6-2 6-3,19900115
6-3 7-5 6-2,19900115
7-5 7-6 3-6 6-2,19900115
6-4 6-4 6-2,19900115
6-4 6-1 6-2,19900115
6-1 6-1 6-2,19900115
4-6 7-6 5-2 RET,19900115
6-3 7-6,19901008
6-3 7-6,19901008
6-3 6-4,19901008
6-3 6-4,19901008
6-7 7-6 RET,19901008
7-6 6-4,19901008
7-5 6-2,19901008
7-5 7-6,19901008
6-7 6-4 6-3,19901008
4-3 RET,19901008
6-4 6-4,19901008
7-6 7-6,19901008
6-2 7-6,19901008
7-6 7-6,19901008
6-2 6-3,19901008
2-6 7-6 6-4,19901008
6-3 6-1,19901008
6-4 6-3,19901008
4-6 6-0 6-3,19901008
3-6 6-3 7-6,19901008
6-2 7-6,19901008
6-4 6-4,19901008
7-5 6-4,19901008
6-3 6-1,19901008
6-7 6-3 6-3,19901008
6-1 6-4,19901008
6-3 3-6 7-5,19901008
6-4 6-4,19901008
3-6 7-6 6-4,19901008
6-1 6-4,19901008
2-6 7-6 6-4,19901008
6-4 7-6,19901008
6-4 6-2,19901008
6-4 6-4,19901008
6-4 3-6 6-3,19901008
6-4 7-6,19901008
7-6 7-6,19901008
4-6 6-4 6-2,19901008
7-6 6-3,19901008
6-2 6-3,19901008
6-4 3-6 7-6,19901008
7-6 6-2,19901008
6-3 6-2,19901008
6-4 6-4,19901008
7-5 6-3,19901008
7-6 6-2,19901008
4-6 6-3 7-6,19901008
7-5 6-7 6-0,19901022
2-6 6-2 6-2,19901022
6-1 6-3,19901022
6-3 6-4,19901022
6-4 7-6,19901022
6-3 6-4,19901022
7-6 6-1,19901022
4-6 6-4 6-3,19901022
7-6 6-3,19901022
6-4 6-3,19901022
4-6 6-4 7-5,19901022
6-4 7-6,19901022
7-6 3-6 6-3,19901022
6-2 3-6 6-3,19901022
6-1 6-4,19901022
6-3 6-3,19901022
6-4 6-3,19901022
6-7 7-6 7-6,19901022
3-6 6-3 7-5,19901022
6-3 7-6,19901022
6-3 7-5,19901022
6-3 3-6 6-3,19901022
6-2 6-3,19901022
7-5 6-3,19901022
6-7 6-3 6-1,19901022
6-4 6-3,19901022
6-3 6-4,19901022
7-6 6-7 6-3,19901022
6-2 6-7 7-5,19901022
7-6 6-3,19901022
6-3 6-3,19901022
6-2 6-0,19901022
6-4 6-4,19901022
6-3 6-4,19901022
6-4 6-2,19901022
6-3 7-6,19901022
6-7 6-2 6-3,19901022
6-3 3-6 7-6,19901022
6-4 6-4,19901022
6-4 6-3,19901022
6-4 3-6 6-1,19901022
6-2 6-1,19901022
7-6 5-7 6-4,19901022
6-4 6-2,19901022
7-6 6-2,19901022
6-4 6-4,19901022
6-4 6-0 6-3,19901022
6-2 6-3,19900409
7-5 RET,19900409
6-4 6-1,19900409
6-2 6-2,19900409
6-3 6-4,19900409
6-1 6-1,19900409
6-2 6-3,19900409
6-3 6-2,19900409
7-6 6-3,19900409
7-6 6-3,19900409
6-4 4-6 7-5,19900409
6-2 7-6,19900409
6-2 6-3,19900409
6-2 7-6,19900409
7-6 7-5,19900409
6-2 6-4,19900409
6-3 7-5,19900409
6-1 6-0,19900409
1-6 6-3 6-4,19900409
4-6 7-6 6-4,19900409
6-4 6-7 6-4,19900409
7-6 5-7 6-2,19900409
6-0 6-3,19900409
6-7 6-4 6-1,19900409
6-4 6-2,19900409
6-4 6-3,19900409
6-3 7-5,19900409
6-3 7-6,19900409
6-4 7-6,19900409
6-4 7-6,19900409
3-6 6-2 6-3,19900409
1-6 6-0 6-1,19900409
6-1 6-0,19900409
3-6 6-3 7-5,19900409
4-6 6-3 6-3,19900409
1-6 6-1 6-0,19900409
6-1 6-4,19900409
1-6 6-2 6-4,19900409
6-2 7-6,19900409
6-0 6-2,19900409
7-6 6-2,19900409
7-6 6-7 6-2,19900409
6-3 6-2,19900409
7-5 6-2,19900409
6-2 7-6,19900409
4-6 7-5 6-1,19900409
6-4 6-2,19900409
6-2 6-7 6-1,19900409
6-4 6-2,19900409
7-6 6-1,19900409
6-1 7-6,19900409
6-3 6-3,19900409
6-3 5-7 6-4,19900409
6-1 7-6,19900409
6-4 7-5,19900409
7-6 7-6,19900924
7-5 6-4,19900924
4-6 7-6 6-4,19900924
6-1 5-7 7-6,19900924
6-4 6-3,19900924
6-4 6-4,19900924
6-4 6-1,19900924
7-6 6-0,19900924
6-1 4-6 6-3,19900924
6-4 4-6 6-4,19900924
6-2 5-7 6-3,19900924
6-4 7-6,19900924
6-0 7-5,19900924
7-6 6-3,19900924
7-6 3-6 6-3,19900924
7-6 6-1,19900924
6-4 7-6,19900924
6-3 6-3,19900924
6-1 6-2,19900924
3-6 6-2 6-3,19900924
6-7 7-6 6-4,19900924
2-6 6-2 7-5,19900924
6-2 6-3,19900924
6-1 6-2,19900924
7-6 6-7 6-4,19900924
6-3 7-5,19900924
7-6 6-4,19900924
7-6 7-6,19900924
6-2 2-6 6-3,19900924
6-2 6-4,19900924
6-7 4-6 7-6 6-3 6-4,19900924
6-2 3-6 6-3,19901001
6-4 3-6 6-3,19901001
3-6 6-1 6-1,19901001
3-6 6-2 6-3,19901001
6-3 6-2,19901001
6-4 7-5,19901001
6-3 6-2,19901001
6-4 6-4,19901001
4-6 6-3 6-3,19901001
7-6 3-6 6-3,19901001
7-6 6-2,19901001
6-2 3-6 6-4,19901001
6-0 6-3,19901001
4-6 6-4 6-2,19901001
6-4 6-7 7-6,19901001
2-6 7-6 6-4,19901001
6-2 6-2,19901001
7-6 6-4,19901001
